diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_glrlm_RunVariance,0.4553904269137531,0.5873497511707747,0.5935225719555823,0.5202961487307999,0.44669463629868916
original_glrlm_ShortRunEmphasis,0.8436967880502177,0.8247572974843342,0.8165987598629781,0.8264805109469008,0.8394057251723708
original_glrlm_ShortRunHighGrayLevelEmphasis,180.05269502951847,123.63216828542,120.63105026167479,115.73800321615111,104.52224167150591
original_glrlm_ShortRunLowGrayLevelEmphasis,0.012992405538090866,0.03593581957135085,0.028138633385725517,0.022386960804810063,0.028035123892321673
original_glszm_GrayLevelNonUniformity,46.73613193403298,53.814440433212994,59.03665987780041,108.91349206349206,91.4363286881307
original_glszm_GrayLevelNonUniformityNormalized,0.03503458165969489,0.03885519164852924,0.04007919883082173,0.043219639707734944,0.043938649057246856
original_glszm_GrayLevelVariance,107.94368314343578,115.11421548567036,118.76112823306504,108.1837641723356,98.04546616477631
original_glszm_HighGrayLevelZoneEmphasis,441.0472263868066,364.84548736462096,380.68228105906314,357.22222222222223,317.18789043728975
original_glszm_LargeAreaEmphasis,3940.910794602699,5806.552346570397,10135.309572301425,18201.239285714284,12675.365689572322
original_glszm_LargeAreaHighGrayLevelEmphasis,196877.98350824587,109116.09963898917,248667.73727087578,564708.9884920635,342158.8260451706
original_glszm_LargeAreaLowGrayLevelEmphasis,83.05883973689247,337.5695972931498,445.5272354779103,617.4889878043006,505.3503723914026
original_glszm_LowGrayLevelZoneEmphasis,0.009116013926247859,0.02103615921356245,0.01796529350867684,0.014615578750062407,0.021004992867408822
original_glszm_SizeZoneNonUniformity,603.5712143928037,651.0375451263537,669.958587915818,1107.547619047619,941.6371936568958
original_glszm_SizeZoneNonUniformityNormalized,0.45245218470225157,0.4700632094775118,0.4548259252653212,0.43950302343159486,0.4524926447173934
original_glszm_SmallAreaEmphasis,0.6991077960489446,0.7129374602389734,0.7014085167219811,0.689436736104591,0.6995189887947268
original_glszm_SmallAreaHighGrayLevelEmphasis,336.4478937310049,288.30057514271107,294.46018287686513,275.69194489025324,244.22286138627263
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005516786624539381,0.01319940528732524,0.010137076331856208,0.00867955920425728,0.01358856840255574
original_glszm_ZoneEntropy,6.6697563934533814,6.560292188025313,6.638586910511152,6.682668387492956,6.530725313277966
original_glszm_ZonePercentage,0.18775510204081633,0.17000122744568552,0.14655258183265346,0.1413427561837456,0.15169849832337076
original_glszm_ZoneVariance,3912.5435923342675,5771.950770112994,10088.749563655185,18151.183660714287,12631.910921471837
original_ngtdm_Busyness,1.6256643080361242,3.3252331952790612,3.2373724839509403,5.677718365538546,5.237073537072433
original_ngtdm_Coarseness,0.0010325561345207396,0.0007852877269723349,0.0006823210790997384,0.00037489775575221494,0.00046687909680892184
original_ngtdm_Complexity,2370.389367609331,2505.0053343193426,2376.5794690171097,2020.961834113332,1978.5299108435484
original_ngtdm_Contrast,0.08407618399094156,0.07418428240112145,0.05925067324191567,0.05661697826181044,0.06178697919105821
original_ngtdm_Strength,3.8647662762453563,4.209380527049138,3.892414109772942,1.8052445480662707,1.969846165194092
